## dpkg packages
7zip	25.01+dfsg-1~deb13u1
usb-modeswitch	2.6.1-4+b2
usb-modeswitch-data	20191128-7
usbutils	1:018-2
userconf-pi	0.18
util-linux	2.41-5
uuid	1.6.4-1
v4l-utils	1.30.1-1
vim-common	2:9.1.1230-2
vim-tiny	2:9.1.1230-2
wget	1.25.0-2
whiptail	0.52.25-1
wireless-regdb	2026.02.04-1~deb13u1
wireless-tools	30~pre9-18+b1
wpasupplicant	2:2.10-24
x11-common	1:7.7+24+deb13u1
x11-xkb-utils	7.7+9
xauth	1:1.1.2-1.1
xcvt	0.1.3-1
xdg-user-dirs	0.18-2
xfonts-base	1:1.0.5+nmu1
xfonts-encodings	1:1.0.4-2.2
xfonts-utils	1:7.7+7
xkb-data	2.42-1
xml-core	0.19
xserver-common	2:21.1.16-1.3+rpt1+deb13u1
xserver-xorg-core	2:21.1.16-1.3+rpt1+deb13u1
xserver-xorg-input-evdev	1:2.11.0-1
xz-utils	5.8.1-1
zip	3.0-15
zlib1g:arm64	1:1.3.dfsg+really1.3.1-1+b1
zlib1g-dev:arm64	1:1.3.dfsg+really1.3.1-1+b1
zstd	1.5.7+dfsg-1
