## dpkg packages
7zip	25.01+dfsg-1~deb13u1
libc-bin	2.41-12+rpt1+deb13u2
libc-dev-bin	2.41-12+rpt1+deb13u2
libc-l10n	2.41-12+rpt1+deb13u2
libc6:arm64	2.41-12+rpt1+deb13u2
libc6-dev:arm64	2.41-12+rpt1+deb13u2
libcamera-ipa:arm64	0.7.1+rpt20260429-1
libcamera0.7:arm64	0.7.1+rpt20260429-1
libcap-ng0:arm64	0.8.5-4+b1
libcap2:arm64	1:2.75-10+b8
libcap2-bin	1:2.75-10+b8
libcbor0.10:arm64	0.10.2-2
libcc1-0:arm64	14.2.0-19
libcom-err2:arm64	1.47.2-3+b10
libcpuinfo0:arm64	0.0~git20250327.39ea79a-1
libcrypt-dev:arm64	1:4.4.38-1
libcrypt1:arm64	1:4.4.38-1
libcryptsetup12:arm64	2:2.7.5-2
libctf-nobfd0:arm64	2.44-3
libctf0:arm64	2.44-3
libcurl3t64-gnutls:arm64	8.14.1-2+deb13u2
libcurl4t64:arm64	8.14.1-2+deb13u2
libdaemon0:arm64	0.14-7.1+b3
libdb5.3t64:arm64	5.3.28+dfsg2-9
libdbus-1-3:arm64	1.16.2-2
libdconf1:arm64	0.40.0-5
libdebconfclient0:arm64	0.280
libdebuginfod-common	0.192-4
libdebuginfod1t64:arm64	0.192-4
libdeflate0:arm64	1.23-2
libdevmapper1.02.1:arm64	2:1.02.205-2
libdouble-conversion3:arm64	3.3.1-1
libdpkg-perl	1.22.22
libdrm-amdgpu1:arm64	2.4.131-1~bpo13+1+rpt2
libdrm-common	2.4.131-1~bpo13+1+rpt2
libdrm2:arm64	2.4.131-1~bpo13+1+rpt2
libdtovl0:arm64	20260304+1-1
libduktape207:arm64	2.7.0-2+b2
libdvdread8t64:arm64	6.1.3-2
libdw1t64:arm64	0.192-4
libeatmydata1:arm64	131-2+b1
libebml5:arm64	1.4.5-1+b1
libedit2:arm64	3.1-20250104-1
libegl-mesa0:arm64	25.0.7-2+rpt4
libegl1:arm64	1.7.0-1+b2
libelf1t64:arm64	0.192-4
libepoxy0:arm64	1.5.10-2
liberror-perl	0.17030-1
libevdev2:arm64	1.13.4+dfsg-1
libexif12:arm64	0.6.25-1
libexpat1:arm64	2.7.1-2
libexpat1-dev:arm64	2.7.1-2
libext2fs2t64:arm64	1.47.2-3+b10
libfakeroot:arm64	1.37.1.1-1
libfarmhash0:arm64	0~git20190513.0d859a8-3+b1
libfdisk1:arm64	2.41-5
libfdt1:arm64	1.7.2-2+b1
libffi8:arm64	3.4.8-2
libfftw3-single3:arm64	3.3.10-2+b1
libfido2-1:arm64	1.15.0-1+b1
libfile-fcntllock-perl	0.22-4+b4
libflac14:arm64	1.5.0+ds-2
libfmt10:arm64	10.1.1+ds1-4
libfontconfig1:arm64	2.15.0-2.3
libfontenc1:arm64	1:1.1.8-1+b2
libfreetype6:arm64	2.13.3+dfsg-1+deb13u1
libfribidi0:arm64	1.0.16-1
libftdi1-2:arm64	1.5-10
libfuse3-4:arm64	3.17.2-3
libgbm1:arm64	25.0.7-2+rpt4
libgcc-14-dev:arm64	14.2.0-19
libgcc-s1:arm64	14.2.0-19
libgcrypt20:arm64	1.11.0-7
libgdbm-compat4t64:arm64	1.24-2
libgdbm6t64:arm64	1.24-2
libgfortran5:arm64	14.2.0-19
libgl1:arm64	1.7.0-1+b2
libgl1-mesa-dri:arm64	25.0.7-2+rpt4
libgles2:arm64	1.7.0-1+b2
libglib2.0-0t64:arm64	2.84.4-3~deb13u2
libglib2.0-data	2.84.4-3~deb13u2
libglvnd0:arm64	1.7.0-1+b2
